Year,Month,Day,Rise,Culm,Set
2022,6,1,05:32,12:35,19:39
2022,7,1,05:34,12:41,19:48
2022,8,1,05:52,12:44,19:35
2022,9,1,06:11,12:37,19:03
2022,10,1,06:30,12:27,18:24
2022,11,1,05:52,11:21,16:49
2022,12,1,06:18,11:26,16:34
2023,1,1,06:36,11:41,16:45
2023,2,1,06:30,11:51,17:12
2023,3,1,06:04,11:50,17:36
2023,4,1,06:26,12:41,18:57
2023,5,1,05:51,12:34,19:18
2023,6,1,05:32,12:35,19:39
2023,7,1,05:34,12:41,19:48
2023,8,1,05:51,12:44,19:36
2023,9,1,06:11,12:37,19:03
2023,10,1,06:30,12:27,18:24
2023,11,1,05:52,11:21,16:49
2023,12,1,06:18,11:26,16:34
2024,1,1,06:36,11:40,16:45
2024,2,1,06:30,11:51,17:12
2024,3,1,06:04,11:50,17:36
2024,4,1,06:25,12:41,18:58
2024,5,1,05:51,12:34,19:18
2024,6,1,05:31,12:35,19:39
